0100 臺北市 1
4206 高雄縣大寮鄉 5 831 0706
4207 高雄縣大樹鄉 5 840 0707
4208 高雄縣仁武鄉 5 814 0708
4209 高雄縣大社鄉 5 815 0709
4210 高雄縣鳥松鄉 5 833 0710
4211 高雄縣橋頭鄉 5 825 0711
4212 高雄縣燕巢鄉 5 824 0712
4213 高雄縣田寮鄉 5 823 0713
4214 高雄縣阿蓮鄉 5 822 0714
4215 高雄縣路竹鄉 5 821 0715
4216 高雄縣湖內鄉 5 829 0716
4217 高雄縣茄萣鄉 5 852 0717
4218 高雄縣永安鄉 5 828 0718
4219 高雄縣彌陀鄉 5 827 0719
4220 高雄縣梓官鄉 5 826 0720
4221 高雄縣六龜鄉 5 844 0721
4222 高雄縣甲仙鄉 5 847 0722
4223 高雄縣杉林鄉 5 846 0723
4224 高雄縣內門鄉 5 845 0724
4225 高雄縣茂林鄉 5 851 0725
4226 高雄縣桃源鄉 5 848 0726
4227 高雄縣那瑪夏鄉 5 849 0727
4300 屏東縣 5
4301 屏東縣屏東市 5 900
4302 屏東縣潮州鎮 5 920
4303 屏東縣東港鎮 5 928
4304 屏東縣恆春鎮 5 946
4305 屏東縣萬丹鄉 5 913
4306 屏東縣長治鄉 5 908
4307 屏東縣麟洛鄉 5 909
4308 屏東縣九如鄉 5 904
4309 屏東縣里港鄉 5 905
4310 屏東縣鹽埔鄉 5 907
4311 屏東縣高樹鄉 5 906
4312 屏東縣萬巒鄉 5 923
4313 屏東縣內埔鄉 5 912
4314 屏東縣竹田鄉 5 911
4315 屏東縣新埤鄉 5 925
4316 屏東縣枋寮鄉 5 940
4317 屏東縣新園鄉 5 932
4318 屏東縣崁頂鄉 5 924
4319 屏東縣林邊鄉 5 927
4320 屏東縣南州鄉 5 926
4321 屏東縣佳冬鄉 5 931
4322 屏東縣琉球鄉 5 929
4323 屏東縣車城鄉 5 944
4324 屏東縣滿州鄉 5 947
4325 屏東縣枋山鄉 5 941
4326 屏東縣三地門鄉 5 901
4327 屏東縣霧臺鄉 5 902
4328 屏東縣瑪家鄉 5 903
4329 屏東縣泰武鄉 5 921
4330 屏東縣來義鄉 5 922
4331 屏東縣春日鄉 5 942
4332 屏東縣獅子鄉 5 943
4333 屏東縣牡丹鄉 5 945
4400 澎湖縣 5
4401 澎湖縣馬公市 5 880
4402 澎湖縣湖西鎮 5 885
4403 澎湖縣白沙鄉 5 884
4404 澎湖縣西嶼鄉 5 881
4405 澎湖縣望安鄉 5 882
4406 澎湖縣七美鄉 5 883
4500 花蓮縣 6
4501 花蓮縣花蓮市 6 970
4502 花蓮縣鳳林鎮 6 975
4503 花蓮縣玉里鎮 6 981
4504 花蓮縣新城鄉 6 971
4505 花蓮縣吉安鄉 6 973
4506 花蓮縣壽豐鄉 6 974
4507 花蓮縣光復鄉 6 976
4508 花蓮縣豐濱鄉 6 977
4509 花蓮縣瑞穗鄉 6 978
4510 花蓮縣富里鄉 6 983
4511 花蓮縣秀林鄉 6 972
4512 花蓮縣萬榮鄉 6 979
4513 花蓮縣卓溪鄉 6 982
4600 台東縣 6
4601 台東縣台東市 6 950
4602 台東縣成功鎮 6 961
4603 台東縣關山鎮 6 956
4604 台東縣卑南鄉 6 954
4605 台東縣大武鄉 6 965
4606 台東縣太麻里 6 963
4607 台東縣東河鄉 6 959
4608 台東縣長濱鄉 6 962
4609 台東縣鹿野鄉 6 955
4610 台東縣池上鄉 6 958
4611 台東縣綠島鄉 6 951
4612 台東縣延平鄉 6 953
4613 台東縣海端鄉 6 957
4614 台東縣達仁鄉 6 966
4615 台東縣金峰鄉 6 964
4616 台東縣蘭嶼鄉 6 952
9000 金門縣 1
9001 金門縣金城鎮 1 893
9002 金門縣金沙鎮 1 890
9003 金門縣金湖鎮 1 891
9004 金門縣金寧鎮 1 892
9005 金門縣烈嶼鄉 1 894
9006 金門縣烏坵鄉 1 896
9100 連江縣 1
9101 連江縣南竿鄉 1 209
9102 連江縣北竿鄉 1 210
9103 連江縣莒光鄉 1 211
9104 連江縣東引鄉 1 212
